group,n,prevalence,flagged_rate,TPR,FPR,PPV
≥1 mortgage,18835,0.057658614281921955,0.1617732943987258,0.6574585635359116,0.13144402501549382,0.2343288480472596
No mortgage,11043,0.08294847414651815,0.24504210812279273,0.7762008733624454,0.19699812382739212,0.26274944567627495
