group,n,prevalence,flagged_rate,TPR,FPR,PPV
≥1 mortgage,18835,0.057658614281921955,0.11972391823732413,0.5405156537753223,0.09397712547185758,0.26031042128603105
No mortgage,11043,0.08294847414651815,0.18355519333514445,0.6058951965065502,0.14535400414732894,0.27380365071534285
